UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/10/11T00:01:25z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,64,59,49,711.40,0.00,11960,-82,38988,19.41,25.24,26.36,18.61,24.56,26.32,79,78,3452.95,991.37,106.36,10.54,1.81,0.29,16.05,20.96,25.09,15.95,20.91,25.05,70,70,2892.74,838.63,108.91,10.26,6.26,0.51,82.93
2023/10/11T00:03:25z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,64,59,49,711.49,0.00,11960,-82,39108,18.34,23.03,23.90,18.28,23.03,23.90,75,75,3208.40,918.74,112.21,6.67,1.09,0.31,16.05,20.60,23.72,16.05,20.60,23.72,69,69,2858.84,822.88,114.18,7.35,4.44,1.54,73.61
2023/10/11T00:05:25z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,65,59,50,711.58,0.00,11960,-85,39228,24.25,30.56,33.20,22.22,29.85,33.20,91,89,4159.09,1199.98,153.85,8.85,4.40,0.98,19.40,26.55,29.32,19.22,26.50,29.32,82,82,3556.70,1003.27,144.13,7.57,4.52,0.52,79.95
2023/10/11T00:07:25z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,65,58,50,711.63,0.00,11960,-83,39348,24.29,30.93,33.50,22.31,30.38,33.50,91,90,4136.95,1209.86,147.74,10.60,3.86,0.74,19.37,25.73,30.08,19.07,25.73,30.08,80,80,3488.75,1003.39,131.93,11.86,6.68,1.59,83.72
2023/10/11T00:09:25z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,65,58,50,711.64,0.00,11960,-83,39468,20.02,24.53,26.08,19.10,24.46,26.08,78,78,3466.37,1001.78,97.24,6.88,2.54,0.78,17.88,22.79,25.57,17.52,22.79,25.57,74,74,3179.68,913.36,120.00,7.18,4.11,0.73,86.17
2023/10/11T00:11:25z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,65,58,50,711.64,0.00,11960,-80,39588,16.65,21.22,23.48,16.27,21.22,23.48,71,71,2998.55,866.97,104.67,6.93,2.88,1.43,14.20,18.84,21.57,14.16,18.84,21.57,66,66,2629.93,745.18,113.50,5.70,4.41,0.98,65.23
2023/10/11T00:13:25z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,63,60,49,711.64,0.00,11960,-85,39708,27.00,34.35,36.49,23.74,32.33,36.44,99,94,4693.63,1355.72,149.61,13.33,3.26,1.28,23.33,30.65,36.30,21.72,29.96,36.30,91,89,4176.95,1190.53,156.21,13.70,8.74,1.70,82.98
2023/10/11T00:15:25z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,62,62,48,711.68,0.00,11960,-84,39828,21.20,27.00,27.67,19.91,26.55,27.67,83,82,3737.56,1065.98,123.82,6.05,0.91,0.20,17.47,23.98,25.14,17.10,23.98,25.14,77,77,3239.69,916.34,116.92,7.59,2.00,0.49,77.46
2023/10/11T00:17:25z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,62,63,49,711.71,0.00,11960,-84,39948,18.28,23.77,25.12,17.95,23.40,25.12,76,75,3181.40,928.23,115.10,6.90,2.32,0.10,16.66,22.18,25.52,16.50,22.11,25.52,73,73,2918.46,850.04,124.64,8.64,5.09,1.20,65.79
2023/10/11T00:19:25z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,62,63,49,711.75,0.00,11960,-82,40068,18.78,24.90,25.49,18.63,24.76,25.49,78,78,3313.93,964.17,116.39,8.98,1.00,0.17,15.43,22.75,27.50,15.36,22.70,27.50,74,74,2940.32,849.32,144.96,12.14,7.50,0.54,66.56
2023/10/11T00:21:25z,8:3a:8d:c5:a9:50,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,62,63,49,711.77,0.00,11960,-84,40188,18.25,22.28,24.05,18.00,22.28,24.05,73,73,3162.89,905.30,104.63,4.42,2.72,0.93,16.14,21.25,23.88,16.10,21.25,23.88,71,71,2907.25,829.83,109.29,7.22,3.93,0.92,63.24
