UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/10/19T00:00:28z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,60,43,675.58,0.01,26264,0,1180,1.45,1.80,2.57,1.45,1.80,2.57,7,7,465.25,122.05,6.75,1.78,0.93,0.23,0.68,0.82,1.21,0.68,0.82,1.21,3,3,274.05,77.32,4.46,0.95,0.67,0.00,80.36
2023/10/19T00:02:09z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,43,675.57,nan,26352,0,100,1.89,2.36,2.40,1.89,2.36,2.40,10,10,520.67,137.07,14.16,0.78,0.04,0.00,1.00,1.43,1.43,1.00,1.43,1.43,6,6,342.00,96.24,10.21,0.83,0.00,0.00,nan
2023/10/19T00:04:09z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,60,43,675.64,0.00,26264,0,220,1.68,2.25,2.80,1.68,2.25,2.80,9,9,473.65,128.95,13.52,1.42,0.92,0.45,0.68,0.95,0.95,0.68,0.95,0.95,4,4,276.95,75.35,5.89,0.54,0.00,0.00,80.83
2023/10/19T00:06:09z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,60,43,675.65,0.01,26264,0,340,0.75,1.16,1.42,0.75,1.16,1.42,5,5,345.53,84.40,7.16,1.19,0.44,0.00,0.50,0.78,0.78,0.50,0.78,0.78,3,3,254.79,72.24,6.55,0.47,0.00,0.00,80.31
2023/10/19T00:08:09z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,60,43,675.68,0.00,26264,0,460,0.81,1.16,1.53,0.81,1.16,1.53,5,5,354.26,87.49,4.70,0.82,0.44,0.44,0.64,0.86,0.86,0.64,0.86,0.86,4,4,255.46,74.24,6.98,0.19,0.00,0.00,80.17
2023/10/19T00:10:09z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,59,43,675.67,0.00,26264,0,580,1.13,1.73,2.03,1.13,1.73,2.03,7,7,391.80,103.60,9.43,1.17,0.53,0.10,0.77,1.04,1.11,0.77,1.04,1.11,4,4,270.11,78.02,5.56,0.49,0.25,0.00,80.06
2023/10/19T00:12:09z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,59,43,675.69,0.00,26264,0,700,0.62,0.91,1.02,0.62,0.91,1.02,4,4,307.34,76.33,5.76,0.48,0.22,0.22,0.00,0.36,0.39,0.00,0.36,0.39,1,1,218.95,56.23,6.02,0.45,0.04,0.00,78.44
2023/10/19T00:14:09z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,60,43,675.71,0.00,26264,0,820,0.91,1.22,1.22,0.91,1.22,1.22,5,5,339.00,85.21,7.55,0.93,0.00,0.00,0.42,0.90,1.27,0.42,0.90,1.27,4,4,244.37,72.92,5.76,1.53,0.85,0.00,79.17
2023/10/19T00:16:09z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,59,43,675.74,0.01,26264,0,940,0.95,1.28,1.84,0.95,1.28,1.84,5,5,349.68,92.70,11.12,0.86,0.75,0.49,0.03,0.41,0.58,0.03,0.41,0.58,2,2,177.56,49.41,5.90,1.44,0.17,0.00,78.21
2023/10/19T00:18:09z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,59,43,675.78,0.01,26264,0,1060,1.00,1.74,1.81,1.00,1.74,1.81,7,7,386.38,98.34,11.48,0.84,0.26,0.26,0.29,1.02,1.02,0.29,1.02,1.02,4,4,242.12,62.88,7.22,0.14,0.00,0.00,78.30
